,Date,Open,High,Low,Close,Volume,OpenInt,Weekday,MA10,MA50,Target,UpDown,CrossUpCrossDown
28,2005-04-07,5.3018,5.4593,5.2738,5.4408,5729320,0,Thursday,5.45282,,,False,
29,2005-04-08,5.4686,5.5242,5.3851,5.4223,5992055,0,Friday,5.40555,,,False,
30,2005-04-11,5.4223,5.45,5.3297,5.4223,5087985,0,Monday,5.37312,,,True,
31,2005-04-12,5.4408,5.5614,5.4037,5.5242,7875886,0,Tuesday,5.3601399999999995,,,False,
32,2005-04-13,5.5148,5.5614,5.3945,5.4223,8113224,0,Wednesday,5.36848,,,False,
33,2005-04-14,5.4963,5.5242,5.2554,5.2646,7050934,0,Thursday,5.38701,,,True,
34,2005-04-15,5.3203,5.5057,5.3018,5.3573,8385258,0,Friday,5.39813,,,False,
35,2005-04-18,5.3759,5.3945,5.2184,5.2832,5107923,0,Monday,5.399990000000001,,,True,
36,2005-04-19,5.3203,5.3851,5.2646,5.3573,4646415,0,Tuesday,5.394430000000001,,,False,
37,2005-04-20,5.3297,5.3851,5.1814,5.1814,5808309,0,Wednesday,5.3990800000000005,,,True,
38,2005-04-21,5.2275,5.2554,5.1071,5.246,7167505,0,Thursday,5.39165,,,False,
39,2005-04-22,5.2646,5.2646,5.0422,5.0885,5344292,0,Friday,5.371250000000001,,,True,
40,2005-04-25,5.1071,5.3203,5.0885,5.311,5779516,0,Monday,5.339729999999999,,,False,
41,2005-04-26,5.311,5.3573,5.2275,5.2554,4719675,0,Tuesday,5.32675,,,False,
42,2005-04-27,5.2554,5.2554,5.0515,5.1814,7809002,0,Wednesday,5.300809999999999,,,False,
43,2005-04-28,5.1442,5.1814,5.0236,5.0515,3162904,0,Thursday,5.265600000000001,,,False,
44,2005-04-29,5.0515,5.1256,4.931,5.0236,4748701,0,Friday,5.238719999999999,,,True,
45,2005-05-02,5.0702,5.1256,5.0052,5.1164,3653012,0,Monday,5.208150000000001,,,True,
46,2005-05-03,5.135,5.2832,5.1256,5.2832,6288692,0,Tuesday,5.189620000000001,,,False,
47,2005-05-04,5.1256,5.2368,5.098,5.172000000000001,10055860,0,Wednesday,5.1692100000000005,,,True,
48,2005-05-05,5.1626,5.311,5.0885,5.2275,8029621,0,Thursday,5.162720000000001,,,True,
49,2005-05-06,5.1533,5.6169,5.1442,5.5335,14413855,0,Friday,5.151590000000001,,,False,
50,2005-05-09,5.5614,5.5614,5.3388,5.3759,6171980,0,Monday,5.19702,5.555148000000003,False,False,0.0
51,2005-05-10,5.3666,5.3851,5.311,5.3666,5272739,0,Tuesday,5.202579999999999,5.548474000000002,False,False,0.0
52,2005-05-11,5.4037,5.4037,5.2275,5.2832,6569239,0,Wednesday,5.217409999999999,5.541988000000001,False,False,0.0
53,2005-05-12,5.2554,5.3297,5.2091,5.2368,4087884,0,Thursday,5.22853,5.529938000000002,False,True,0.0
54,2005-05-13,5.3388,5.3945,5.1905,5.246,11263628,0,Friday,5.25726,5.517146000000001,False,True,0.0
55,2005-05-16,5.2554,5.3388,5.2275,5.3388,7608135,0,Monday,5.275779999999999,5.502316000000002,False,True,0.0
56,2005-05-17,5.412999999999999,5.5520000000000005,5.3945,5.4871,10103841,0,Tuesday,5.303579999999999,5.490082000000001,False,True,0.0
57,2005-05-18,5.5148,5.5798,5.311,5.4963,11088839,0,Wednesday,5.342499999999999,5.477288000000001,False,False,0.0
58,2005-05-19,5.5242,5.5242,5.3388,5.4037,11468778,0,Thursday,5.37866,5.467650000000001,False,True,0.0
59,2005-05-20,5.4223,5.5148,5.3203,5.4408,7454616,0,Friday,5.4055599999999995,5.456158,False,False,0.0
60,2005-05-23,5.4593,5.4593,5.3573,5.4037,4330961,0,Monday,5.39535,5.4472580000000015,False,False,0.0
61,2005-05-24,5.4037,5.4223,5.3203,5.3666,5214843,0,Tuesday,5.39906,5.435394000000002,False,False,0.0
62,2005-05-25,5.3666,5.3666,5.246,5.2926,9447042,0,Wednesday,5.39535,5.422604000000002,False,False,0.0
63,2005-05-26,5.311,5.3573,5.2646,5.2926,3679631,0,Thursday,5.40091,5.408518000000002,False,True,0.0
64,2005-05-27,5.2926,5.3851,5.2738,5.3482,2816990,0,Friday,5.39629,5.395358,True,True,1.0
65,2005-05-31,5.3666,5.5057,5.3388,5.4871,5880528,0,Tuesday,5.4074100000000005,5.382196,False,True,0.0
66,2005-06-01,5.45,5.5614,5.3945,5.5148,9408639,0,Wednesday,5.41111,5.370148000000001,False,False,0.0
67,2005-06-02,5.5242,5.5242,5.4778,5.5057,3382293,0,Thursday,5.41205,5.366812000000002,False,False,0.0
68,2005-06-03,5.4686,5.5242,5.4037,5.4223,4002279,0,Friday,5.40649,5.358468000000001,False,True,0.0
69,2005-06-06,5.4408,5.718999999999999,5.4223,5.6817,8206837,0,Monday,5.40834,5.348458000000002,False,False,0.0
70,2005-06-07,5.6817,5.8209,5.6631,5.6726,9682030,0,Tuesday,5.43058,5.3471600000000015,False,False,0.0
71,2005-06-08,5.7095,5.7095,5.5242,5.5983,4708532,0,Wednesday,5.4611600000000005,5.349938000000001,False,True,0.0
72,2005-06-09,5.6447,5.8949,5.6078,5.8858,6982484,0,Thursday,5.48897,5.354203999999998,False,True,0.0
