,Date,Open,High,Low,Close,Volume,OpenInt,Weekday,MA10,MA50,Target,UpDown
49,1999-05-19,48.6,49.101000000000006,47.846000000000004,49.074,17858852,0,Wednesday,48.2073,,,True
50,1999-05-20,49.172,49.172,47.644,47.716,13413785,0,Thursday,48.3231,47.71772000000001,False,False
51,1999-05-21,47.871,48.012,47.034,47.284,24508348,0,Friday,48.3987,47.75526000000001,False,False
52,1999-05-24,47.36600000000001,47.446999999999996,45.771,46.078,21403813,0,Monday,48.368199999999995,47.788160000000005,False,False
53,1999-05-25,46.026,46.693000000000005,44.375,44.571000000000005,39747623,0,Tuesday,48.1481,47.80666000000001,False,False
54,1999-05-26,45.158,45.995,43.757,45.816,59878247,0,Wednesday,47.7817,47.78476000000001,True,True
55,1999-05-27,45.629,46.435,45.044,45.769,52193336,0,Thursday,47.3454,47.76848000000001,False,False
56,1999-05-28,46.058,46.782,45.473,46.531000000000006,29005066,0,Friday,47.1785,47.76854,False,True
57,1999-06-01,46.443000000000005,46.665,45.244,45.495,15566632,0,Tuesday,47.089299999999994,47.74494,False,False
58,1999-06-02,45.473,46.504,44.332,46.266999999999996,26828630,0,Wednesday,46.779599999999995,47.73456,False,True
59,1999-06-03,46.614,46.614,45.325,45.608000000000004,24931592,0,Thursday,46.580999999999996,47.76702000000001,False,False
60,1999-06-04,45.942,47.163000000000004,45.942,47.003,29045789,0,Friday,46.257999999999996,47.80496000000001,False,True
61,1999-06-07,47.333999999999996,48.282,47.227,47.985,25701022,0,Monday,46.2043,47.83506000000001,False,True
62,1999-06-08,48.088,48.315,46.535,46.776,18194416,0,Tuesday,46.276500000000006,47.86906000000001,False,False
63,1999-06-09,46.945,47.691,46.917,47.56,18752863,0,Wednesday,46.3684,47.871220000000015,False,True
64,1999-06-10,47.062,47.338,46.45399999999999,47.02,21005612,0,Thursday,46.558800000000005,47.85462000000001,False,False
65,1999-06-11,47.336999999999996,47.38399999999999,45.883,46.305,37053044,0,Friday,46.72959999999999,47.83340000000001,False,False
66,1999-06-14,46.471000000000004,46.471000000000004,45.32,45.43,31619585,0,Monday,46.7709,47.797000000000004,False,False
67,1999-06-15,45.544,46.38,45.411,46.106,20459330,0,Tuesday,46.681,47.73438000000001,False,True
68,1999-06-16,47.261,48.482,47.203,48.482,33679540,0,Wednesday,46.8598,47.68824000000001,False,True
69,1999-06-17,47.847,49.24100000000001,47.847,49.016000000000005,36403081,0,Thursday,46.9831,47.64144,False,True
70,1999-06-18,48.563,49.378,48.483999999999995,49.233999999999995,12061658,0,Friday,47.2452,47.63022,False,True
71,1999-06-21,49.573,50.74,49.493,50.715,23628643,0,Monday,47.469100000000005,47.63139999999999,False,True
72,1999-06-22,50.418,51.06,49.19,49.19,24292742,0,Tuesday,47.7021,47.665020000000005,True,False
73,1999-06-23,49.196999999999996,50.081,48.879,49.958999999999996,21484821,0,Wednesday,47.927299999999995,47.65125999999999,False,True
74,1999-06-24,49.941,49.968,48.738,48.971000000000004,33521219,0,Thursday,48.215199999999996,47.659639999999996,False,False
75,1999-06-25,49.299,49.688,48.458999999999996,48.906000000000006,19312363,0,Friday,48.4114,47.69778,False,False
76,1999-06-28,49.321999999999996,50.132,48.92,50.063,17145734,0,Monday,48.6965,47.729119999999995,False,True
77,1999-06-29,50.021,50.948,49.773999999999994,50.751999999999995,20128272,0,Tuesday,49.1442,47.79403999999999,False,True
